ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,NOM,MPC,SLOC,AHF,MIF,AIF,CF,MHF,PF,CC,LOC,NNL,MI
org.thymeleaf.engine.AttributeDefinition,7.0,1.0,3.0,26.0,20.0,5.0,7.0,9.0,54.0,117.0,2.0,0.3571,1.0,0.0,,15.1429,0.75,1.0,
org.thymeleaf.engine.AttributeDefinitions,26.0,1.0,0.0,40.0,71.0,261.0,22.0,27.0,593.0,1784.0,5.0,0.244,0.0,0.1364,,67.3462,0.8057,3.0,
org.thymeleaf.engine.AttributeDefinitions$1,1.0,1.0,0.0,2.0,3.0,0.0,,,,49.0,0.0,0.0,0.0,,,47.0,2.0,,
org.thymeleaf.engine.AttributeDefinitions$AttributeDefinitionRepository,12.0,1.0,0.0,12.0,47.0,10.0,,,,932.0,1.0,0.2583,0.0,,,75.9167,0.5354,,
org.thymeleaf.engine.AttributeDefinitions.AttributeDefinitionRepository,,1.0,0.0,15.0,,56.0,11.0,15.0,268.0,,,,,0.6364,,,483.0,5.0,
org.thymeleaf.engine.AttributeName,8.0,1.0,3.0,55.0,20.0,4.0,8.0,5.0,64.0,142.0,0.0,0.3438,1.0,0.125,,16.25,0.7143,1.0,
org.thymeleaf.engine.AttributeNames,32.0,1.0,0.0,14.0,54.0,460.0,22.0,9.0,552.0,1067.0,3.0,0.2839,0.0,0.4545,,32.25,0.8065,3.0,
org.thymeleaf.engine.AttributeNames$AttributeNamesRepository,10.0,1.0,0.0,7.0,41.0,3.0,,,,716.0,1.0,0.3714,0.0,,,70.0,0.5556,,
org.thymeleaf.engine.AttributeNames.AttributeNamesRepository,,1.0,0.0,11.0,,55.0,10.0,11.0,219.0,,,,,0.6,,,378.0,5.0,
org.thymeleaf.engine.Attributes,23.0,1.0,0.0,19.0,42.0,0.0,22.0,18.0,275.0,901.0,3.0,0.2355,0.0,0.2273,,37.8696,0.7273,2.0,
org.thymeleaf.engine.CDATASection,14.0,3.0,0.0,10.0,34.0,49.0,14.0,6.0,74.0,209.0,0.0,0.25,0.0,0.0,,13.5714,0.6154,1.0,
org.thymeleaf.engine.CDATASectionStructureHandler,5.0,1.0,0.0,4.0,7.0,4.0,5.0,3.0,37.0,68.0,1.0,0.4,0.0,0.0,,11.4,0.0,0.0,
org.thymeleaf.engine.CloseElementTag,7.0,3.0,0.0,14.0,22.0,11.0,7.0,8.0,70.0,120.0,0.0,0.2714,1.0,0.0,,15.8571,0.5,2.0,
org.thymeleaf.engine.Comment,14.0,3.0,0.0,10.0,34.0,49.0,14.0,6.0,74.0,209.0,0.0,0.25,0.0,0.0,,13.5714,0.6154,1.0,
org.thymeleaf.engine.CommentStructureHandler,5.0,1.0,0.0,4.0,7.0,4.0,5.0,3.0,37.0,68.0,1.0,0.4,0.0,0.0,,11.4,0.0,0.0,
org.thymeleaf.engine.DataDrivenTemplateIterator,21.0,1.0,0.0,4.0,37.0,94.0,20.0,12.0,148.0,378.0,2.0,0.2083,0.0,0.05,,16.4286,0.8333,2.0,
org.thymeleaf.engine.DecreaseContextLevelProcessable,2.0,1.0,0.0,4.0,4.0,0.0,2.0,2.0,17.0,27.0,2.0,0.6667,0.0,0.0,,11.5,0.0,1.0,
org.thymeleaf.engine.DocType,18.0,2.0,0.0,10.0,36.0,101.0,18.0,8.0,138.0,275.0,0.0,0.1984,0.0,0.1111,,13.6667,0.8289,2.0,
org.thymeleaf.engine.DocTypeStructureHandler,5.0,1.0,0.0,4.0,7.0,4.0,5.0,3.0,52.0,99.0,1.0,0.4,0.0,0.0,,16.8,0.0,0.0,
org.thymeleaf.engine.ElementDefinition,7.0,1.0,3.0,18.0,20.0,5.0,7.0,9.0,54.0,117.0,2.0,0.3571,1.0,0.0,,15.1429,0.75,1.0,
